Validador do Convênio ICMS 115/2003, versão : 3.00d
Versão do layout: v_03
Data da Validação: 09/02/2019 12:13:06

Nome do arquivo Mestre: RN04601397003909211  1809N01M.001

Arquivo Mestre: 103.107 linhas, 44.026.689 bytes.
Arquivo Destinatário: 103.107 linhas, 29.797.923 bytes.
Arquivo Item: 125.879 linhas, 41.917.707 bytes.

registro; tipo de ocorrencia; arquivo; codigo do erro; valor lido; documento fiscal

12;A;D;306;[00000];000057515
18;A;D;306;[00000];000057521
32;A;D;306;[00000];000057535
36;A;D;306;[00000];000057539
60;A;D;306;[00000];000057563
68;A;D;306;[00000];000057571
74;A;D;306;[00000];000057577
76;A;D;306;[00000];000057579
82;A;D;306;[00000];000057585
86;A;D;306;[00000];000057589
93;A;D;306;[00000];000057596
95;A;D;306;[00000];000057598
114;A;D;306;[00000];000057617
121;A;D;306;[00000];000057624
132;A;D;306;[00000];000057635
137;A;D;306;[00000];000057640
141;A;D;306;[00000];000057644
146;A;D;306;[00000];000057649
153;A;D;306;[00000];000057656
154;A;D;306;[00000];000057657
155;A;D;306;[00000];000057658
163;A;D;306;[00000];000057666
177;A;D;306;[00000];000057680
204;A;D;306;[00000];000057707
208;A;D;306;[00000];000057711
216;A;D;306;[00000];000057719
220;A;D;306;[00000];000057723
229;A;D;306;[00000];000057732
231;A;D;306;[00000];000057734
232;A;D;306;[00000];000057735
233;A;D;306;[00000];000057736
237;A;D;306;[00000];000057740
241;A;D;306;[00000];000057744
246;A;D;306;[00000];000057749
252;A;D;306;[00000];000057755
265;A;D;306;[00000];000057768
266;A;D;306;[00000];000057769
275;A;D;306;[00000];000057778
286;A;D;306;[00000];000057789
293;A;D;306;[00000];000057796
301;A;D;306;[00000];000057804
318;A;D;306;[00000];000057821
319;A;D;306;[00000];000057822
326;A;D;306;[00000];000057829
337;A;D;306;[00000];000057840
346;A;D;306;[00000];000057849
351;A;D;306;[00000];000057854
353;A;D;306;[00000];000057856
358;A;D;306;[00000];000057861
371;A;D;306;[00000];000057874
388;A;D;306;[00000];000057891
390;A;D;306;[00000];000057893
421;A;D;306;[00000];000057924
422;A;D;306;[00000];000057925
440;A;D;306;[00000];000057943
441;A;D;306;[00000];000057944
442;A;D;306;[00000];000057945
448;A;D;306;[00000];000057951
455;A;D;306;[00000];000057958
456;A;D;306;[00000];000057959
464;A;D;306;[00000];000057967
466;A;D;306;[00000];000057969
467;A;D;306;[00000];000057970
477;A;D;306;[00000];000057980
479;A;D;306;[00000];000057982
482;A;D;306;[00000];000057985
486;A;D;306;[00000];000057989
491;A;D;306;[00000];000057994
492;A;D;306;[00000];000057995
496;A;D;306;[00000];000057999
498;A;D;306;[00000];000058001
515;A;D;306;[00000];000058018
523;A;D;306;[00000];000058026
526;A;D;306;[00000];000058029
531;A;D;306;[00000];000058034
553;A;D;306;[00000];000058056
554;A;D;306;[00000];000058057
562;A;D;306;[00000];000058065
563;A;D;306;[00000];000058066
567;A;D;306;[00000];000058070
576;A;D;306;[00000];000058079
577;A;D;306;[00000];000058080
583;A;D;306;[00000];000058086
587;A;D;306;[00000];000058090
590;A;D;306;[00000];000058093
599;A;D;306;[00000];000058102
604;A;D;306;[00000];000058107
609;A;D;306;[00000];000058112
612;A;D;306;[00000];000058115
615;A;D;306;[00000];000058118
628;A;D;306;[00000];000058131
649;A;D;306;[00000];000058152
650;A;D;306;[00000];000058153
673;A;D;306;[00000];000058176
679;A;D;306;[00000];000058182
688;A;D;306;[00000];000058191
846;A;D;306;[00000];000058349
998;A;D;306;[00000];000058501
1062;A;D;306;[00000];000058565
1208;A;D;306;[00000];000058711
1259;A;D;306;[00000];000058762
1265;A;D;306;[00000];000058768
1375;A;D;306;[00000];000058878
1377;A;D;306;[00000];000058880
1381;A;D;306;[00000];000058884
1396;A;D;306;[00000];000058899
1405;A;D;306;[00000];000058908
1422;A;D;306;[00000];000058925
1444;A;D;306;[00000];000058947
1453;A;D;306;[00000];000058956
1477;A;D;306;[00000];000058980
1485;A;D;306;[00000];000058988
1510;A;D;306;[00000];000059013
1560;A;D;306;[00000];000059063
1571;A;D;306;[00000];000059074
1572;A;D;306;[00000];000059075
1575;A;D;306;[00000];000059078
1608;A;D;306;[00000];000059111
1611;A;D;306;[00000];000059114
1663;A;D;306;[00000];000059166
1686;A;D;306;[00000];000059189
1721;A;D;306;[00000];000059224
1734;A;D;306;[00000];000059237
1756;A;D;306;[00000];000059259
1758;A;D;306;[00000];000059261
1764;A;D;306;[00000];000059267
1775;A;D;306;[00000];000059278
1776;A;D;306;[00000];000059279
1791;A;D;306;[00000];000059294
1831;A;D;306;[00000];000059334
1837;A;D;306;[00000];000059340
1839;A;D;306;[00000];000059342
1842;A;D;306;[00000];000059345
1855;A;D;306;[00000];000059358
1868;A;D;306;[00000];000059371
1890;A;D;306;[00000];000059393
1895;A;D;306;[00000];000059398
1919;A;D;306;[00000];000059422
1935;A;D;306;[00000];000059438
1954;A;D;306;[00000];000059457
1970;A;D;306;[00000];000059473
2000;A;D;306;[00000];000059503
2011;A;D;306;[00000];000059514
2028;A;D;306;[00000];000059531
2040;A;D;306;[00000];000059543
2047;A;D;306;[00000];000059550
2064;A;D;306;[00000];000059567
2084;A;D;306;[00000];000059587
2086;A;D;306;[00000];000059589
2095;A;D;306;[00000];000059598
2098;A;D;306;[00000];000059601
2129;A;D;308;[00000000];000059632
2130;A;D;306;[00000];000059633
2138;A;D;306;[00000];000059641
2138;A;D;308;[00000000];000059641
2140;A;D;306;[00000];000059643
2153;A;D;306;[00000];000059656
2165;A;D;306;[00000];000059668
2181;A;D;306;[00000];000059684
2198;A;D;306;[00000];000059701
2222;A;D;306;[00000];000059725
2243;A;D;306;[00000];000059746
2263;A;D;306;[00000];000059766
2267;A;D;306;[00000];000059770
2268;A;D;306;[00000];000059771
2306;A;D;306;[00000];000059809
2332;A;D;306;[00000];000059835
2336;A;D;306;[00000];000059839
2361;A;D;306;[00000];000059864
2364;A;D;306;[00000];000059867
2385;A;D;306;[00000];000059888
2409;A;D;306;[00000];000059912
2410;A;D;306;[00000];000059913
2420;A;D;306;[00000];000059923
2425;A;D;306;[00000];000059928
2442;A;D;306;[00000];000059945
2446;A;D;306;[00000];000059949
2465;A;D;306;[00000];000059968
2480;A;D;306;[00000];000059983
2494;A;D;306;[00000];000059997
2503;A;D;306;[00000];000060006
2542;A;D;306;[00000];000060045
2555;A;D;306;[00000];000060058
2568;A;D;306;[00000];000060071
2577;A;D;306;[00000];000060080
2596;A;D;306;[00000];000060099
2606;A;D;306;[00000];000060109
2615;A;D;306;[00000];000060118
2638;A;D;306;[00000];000060141
2641;A;D;306;[00000];000060144
2669;A;D;306;[00000];000060172
2695;A;D;306;[00000];000060198
2771;A;D;306;[00000];000060274
2797;A;D;306;[00000];000060300
2850;A;D;306;[00000];000060353
2852;A;D;306;[00000];000060355
2869;A;D;306;[00000];000060372
2885;A;D;306;[00000];000060388
2896;A;D;306;[00000];000060399
2909;A;D;306;[00000];000060412
2952;A;D;306;[00000];000060455
2955;A;D;306;[00000];000060458
2961;A;D;306;[00000];000060464
3018;A;D;306;[00000];000060521
3019;A;D;306;[00000];000060522
3110;A;D;306;[00000];000060613
3112;A;D;306;[00000];000060615
3129;A;D;306;[00000];000060632
3148;A;D;306;[00000];000060651
3154;A;D;306;[00000];000060657
3158;A;D;306;[00000];000060661
3172;A;D;306;[00000];000060675
3219;A;D;306;[00000];000060722
3230;A;D;306;[00000];000060733
3233;A;D;306;[00000];000060736
3240;A;D;306;[00000];000060743
3305;A;D;306;[00000];000060808
3309;A;D;306;[00000];000060812
3316;A;D;306;[00000];000060819
3317;A;D;306;[00000];000060820
3322;A;D;306;[00000];000060825
3323;A;D;306;[00000];000060826
3325;A;D;306;[00000];000060828
3333;A;D;306;[00000];000060836
3340;A;D;306;[00000];000060843
3341;A;D;306;[00000];000060844
3350;A;D;306;[00000];000060853
3357;A;D;306;[00000];000060860
3362;A;D;306;[00000];000060865
3363;A;D;306;[00000];000060866
3366;A;D;306;[00000];000060869
3377;A;D;306;[00000];000060880
3378;A;D;306;[00000];000060881
3381;A;D;306;[00000];000060884
3393;A;D;306;[00000];000060896
3402;A;D;306;[00000];000060905
3405;A;D;306;[00000];000060908
3407;A;D;306;[00000];000060910
3411;A;D;306;[00000];000060914
3412;A;D;306;[00000];000060915
3440;A;D;306;[00000];000060943
3469;A;D;306;[00000];000060972
3476;A;D;306;[00000];000060979
3478;A;D;306;[00000];000060981
3483;A;D;306;[00000];000060986
3497;A;D;306;[00000];000061000
3500;A;D;306;[00000];000061003
3505;A;D;306;[00000];000061008
3516;A;D;306;[00000];000061019
3525;A;D;306;[00000];000061028
3537;A;D;306;[00000];000061040
3546;A;D;306;[00000];000061049
3566;A;D;306;[00000];000061069
3572;A;D;306;[00000];000061075
3575;A;D;306;[00000];000061078
3620;A;D;306;[00000];000061123
3628;A;D;306;[00000];000061131
3664;A;D;306;[00000];000061167
3713;A;D;306;[00000];000061216
3736;A;D;306;[00000];000061239
3749;A;D;306;[00000];000061252
3757;A;D;306;[00000];000061260
3771;A;D;306;[00000];000061274
3813;A;D;306;[00000];000061316
3835;A;D;306;[00000];000061338
3837;A;D;306;[00000];000061340
3847;A;D;306;[00000];000061350
3873;A;D;306;[00000];000061376
3897;A;D;306;[00000];000061400
3927;A;D;306;[00000];000061430
3933;A;D;306;[00000];000061436
3956;A;D;306;[00000];000061459
4047;A;D;306;[00000];000061550
4050;A;D;306;[00000];000061553
4093;A;D;306;[00000];000061596
4157;A;D;306;[00000];000061660
4163;A;D;306;[00000];000061666
4186;A;D;306;[00000];000061689
4303;A;D;306;[00000];000061806
4330;A;D;306;[00000];000061833
4453;A;D;306;[00000];000061956
4466;A;D;306;[00000];000061969
4487;A;D;306;[00000];000061990
4499;A;D;306;[00000];000062002
4502;A;D;306;[00000];000062005
4514;A;D;306;[00000];000062017
4542;A;D;306;[00000];000062045
4613;A;D;306;[00000];000062116
4671;A;D;306;[00000];000062174
4679;A;D;306;[00000];000062182
4692;A;D;306;[00000];000062195
4701;A;D;306;[00000];000062204
4715;A;D;306;[00000];000062218
4751;A;D;306;[00000];000062254
4844;A;D;306;[00000];000062347
4951;A;D;306;[00000];000062454
5016;A;D;306;[00000];000062519
5020;A;D;306;[00000];000062523
5033;A;D;306;[00000];000062536
5054;A;D;306;[00000];000062557
5094;A;D;306;[00000];000062597
5121;A;D;306;[00000];000062624
5163;A;D;306;[00000];000062666
5323;A;D;306;[00000];000062826
5343;A;D;306;[00000];000062846
5411;A;D;306;[00000];000062914
5417;A;D;306;[00000];000062920
5450;A;D;306;[00000];000062953
5474;A;D;306;[00000];000062977
5615;A;D;306;[00000];000063118
5719;A;D;306;[00000];000063222
5753;A;D;306;[00000];000063256
5843;A;D;306;[00000];000063346
5893;A;D;306;[00000];000063396
5946;A;D;306;[00000];000063449
5982;A;D;306;[00000];000063485
6015;A;D;306;[00000];000063518
6021;A;D;306;[00000];000063524
6115;A;D;306;[00000];000063618
6123;A;D;306;[00000];000063626
6125;A;D;306;[00000];000063628
6126;A;D;306;[00000];000063629
6250;A;D;306;[00000];000063753
6312;A;D;306;[00000];000063815
6422;A;D;306;[00000];000063925
6432;A;D;306;[00000];000063935
6460;A;D;306;[00000];000063963
6505;A;D;306;[00000];000064008
6570;A;D;306;[00000];000064073
6750;A;D;306;[00000];000064253
6774;A;D;306;[00000];000064277
6818;A;D;306;[00000];000064321
6836;A;D;306;[00000];000064339
6891;A;D;306;[00000];000064394
7013;A;D;306;[00000];000064516
7021;A;D;306;[00000];000064524
7023;A;D;306;[00000];000064526
7071;A;D;306;[00000];000064574
7091;A;D;306;[00000];000064594
7180;A;D;306;[00000];000064683
7181;A;D;306;[00000];000064684
7217;A;D;306;[00000];000064720
7317;A;D;306;[00000];000064820
7344;A;D;306;[00000];000064847
7352;A;D;306;[00000];000064855
7362;A;D;306;[00000];000064865
7372;A;D;306;[00000];000064875
7405;A;D;306;[00000];000064908
7471;A;D;306;[00000];000064974
7491;A;D;306;[00000];000064994
7524;A;D;306;[00000];000065027
7529;A;D;306;[00000];000065032
7549;A;D;306;[00000];000065052
7596;A;D;306;[00000];000065099
7602;A;D;306;[00000];000065105
7668;A;D;306;[00000];000065171
7671;A;D;306;[00000];000065174
7703;A;D;306;[00000];000065206
7727;A;D;306;[00000];000065230
7754;A;D;306;[00000];000065257
7839;A;D;306;[00000];000065342
7904;A;D;306;[00000];000065407
8085;A;D;306;[00000];000065588
8122;A;D;306;[00000];000065625
8301;A;D;306;[00000];000065804
8302;A;D;306;[00000];000065805
8343;A;D;306;[00000];000065846
8348;A;D;306;[00000];000065851
8456;A;D;306;[00000];000065959
8522;A;D;306;[00000];000066025
8545;A;D;306;[00000];000066048
8598;A;D;306;[00000];000066101
8778;A;D;306;[00000];000066281
8783;A;D;306;[00000];000066286
8956;A;D;306;[00000];000066459
9130;A;D;306;[00000];000066633
9237;A;D;306;[00000];000066740
9279;A;D;306;[00000];000066782
